"ACCREDAGENCY","LOCALE","CCBASIC","CCUGPROF","CCSIZSET","HBCU","PBI","ANNHI","TRIBAL","AANAPII","HSI","NANTI","MENONLY","WOMENONLY","HCM2","CONTROL"
"Higher.Learning.Commission","X33","X4","X2","X2","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X1"
"Higher.Learning.Commission","X32","X22","X12","X11","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X2"
"Higher.Learning.Commission","X31","X9","X1","X2","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X1"
"Higher.Learning.Commission","X43","X8","X2","X2","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X1"
"Higher.Learning.Commission","X33","X22","X10","X8","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X2"
"Higher.Learning.Commission","X32","X4","X2","X2","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X1"
"Higher.Learning.Commission","X12","X22","X10","X8","X1","X0","X0","X0","X0","X0","X0","X0","X0","X0","X2"
"Higher.Learning.Commission","X41","X6","X1","X2","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X1"
"Higher.Learning.Commission","X13","X1","X2","X2","X0","X1","X0","X0","X0","X0","X0","X0","X0","X0","X1"
"Higher.Learning.Commission","X13","X1","X2","X3","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X1"
"Higher.Learning.Commission","X32","X4","X2","X2","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X1"
"Higher.Learning.Commission","X33","X6","X1","X2","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X1"
"Transnational.Association.of.Christian.Colleges.and.Schools","X13","X2","X3","X1","X1","X0","X0","X0","X0","X0","X0","X0","X0","X0","X2"
"Higher.Learning.Commission","X42","X21","X13","X8","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X2"
"Higher.Learning.Commission","X33","X5","X2","X2","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X1"
"Higher.Learning.Commission","X33","X18","X12","X14","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X1"
