"CITY","STABBR","ACCREDAGENCY","SCH_DEG","HCM2","MAIN","NUMBRANCH","CONTROL","REGION","LOCALE","LATITUDE","LONGITUDE","CCBASIC","CCUGPROF","CCSIZSET","HBCU","PBI","ANNHI","TRIBAL","AANAPII","HSI","NANTI","MENONLY","WOMENONLY","RELAFFIL","ADM_RATE","ACTCM25","ACTWR25","ACTWR75"
"Flagstaff","AZ","National Accrediting Commission of Career Arts and Sciences","1",0,0,14,3,6,"13","35.197151","-111.625936","-2","-2","-2","0","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL"
"Chandler","AZ","National Accrediting Commission of Career Arts and Sciences","1",0,0,14,3,6,"21","33.347586","-111.860423","-2","-2","-2","0","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL"
"Tucson","AZ","NULL","1",0,1,1,3,6,"11","32.21901","-110.856785","-2","-2","-2","0","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL"
"Mesa","AZ","National Accrediting Commission of Career Arts and Sciences","1",0,1,3,3,6,"11","33.376583","-111.858305","-2","-2","-2","0","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL"
"Thatcher","AZ","Higher Learning Commission","1",0,1,1,1,6,"33","32.843664","-109.76234","6","1","3","0","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL"
"Prescott","AZ","Southern Association of Colleges and Schools Commission on Colleges","3",0,0,2,2,6,"41","34.616766","-112.449741","22","14","10","0","0","0","0","0","0","0","0","0","NULL","0.7652","23","NULL","NULL"
"Scottsdale","AZ","Higher Learning Commission","3",0,1,1,2,6,"41","33.607097","-111.845411","30","0","18","0","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL"
"Glendale","AZ","Higher Learning Commission","1",0,1,1,1,6,"21","33.570226","-112.190735","2","1","5","0","0","0","0","0","1","0","0","0","NULL","NULL","NULL","NULL","NULL"
"Phoenix","AZ","Higher Learning Commission","3",0,1,1,3,6,"11","33.513231","-112.129929","17","5","15","0","0","0","0","0","0","0","0","0","NULL","0.6692","NULL","NULL","NULL"
"Phoenix","AZ","Higher Learning Commission","1",0,1,2,1,6,"11","33.449686","-111.997077","8","1","3","0","0","0","0","0","1","0","0","0","NULL","NULL","NULL","NULL","NULL"
"Mesa","AZ","Higher Learning Commission","2",0,1,1,1,6,"11","33.390323","-111.871255","2","1","5","0","0","0","0","0","1","0","0","0","NULL","NULL","NULL","NULL","NULL"
"Kingman","AZ","Higher Learning Commission","2",0,1,1,1,6,"41","35.270996","-114.029838","5","1","2","0","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL"
"Phoenix","AZ","Accrediting Commission of Career Schools and Colleges","1",0,1,3,3,6,"11","33.684428","-112.121336","-2","-2","-2","0","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL"
"Tsaile","AZ","Higher Learning Commission","2",0,1,1,1,6,"43","36.293328","-109.21684","33","7","9","0","0","0","1","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL"
"Flagstaff","AZ","Higher Learning Commission","3",0,1,1,1,6,"13","35.188449","-111.653724","16","11","16","0","0","0","0","0","0","0","0","0","NULL","0.8085","NULL","NULL","NULL"
"Holbrook","AZ","Higher Learning Commission","1",0,1,1,1,6,"41","34.93031","-110.142199","9","1","2","0","0","0","0","0","0","1","0","0","NULL","NULL","NULL","NULL","NULL"
"Phoenix","AZ","Higher Learning Commission","3",0,0,5,2,6,"11","33.572173","-112.113001","20","7","6","0","0","0","0","0","0","0","0","0","52","NULL","NULL","NULL","NULL"
"Phoenix","AZ","Higher Learning Commission","2",0,1,1,1,6,"11","33.481361","-112.088293","5","1","4","0","0","0","0","0","1","0","0","0","NULL","NULL","NULL","NULL","NULL"
"Scottsdale","AZ","NULL","1",0,1,1,3,6,"12","33.466153","-111.90807","-2","-2","-2","0","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL"
"Tucson","AZ","Higher Learning Commission","1",0,1,1,1,6,"11","32.222125","-110.886659","1","1","5","0","0","0","0","0","1","0","0","0","NULL","NULL","NULL","NULL","NULL"
"Tucson","AZ","Accrediting Bureau of Health Education Schools","1",0,1,12,3,6,"11","32.2502","-110.921301","26","10","9","0","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL"
"Albuquerque","NM","Accrediting Bureau of Health Education Schools","1",0,0,12,3,6,"11","35.104855","-106.59488","10","4","2","0","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL"
"Prescott","AZ","Higher Learning Commission","3",0,1,1,2,6,"13","34.5452","-112.477185","20","13","7","0","0","0","0","0","0","0","0","0","NULL","0.9526","19","NULL","NULL"
"Phoenix","AZ","Accrediting Commission of Career Schools and Colleges","1",0,1,1,3,6,"11","33.448692","-111.989357","11","4","2","0","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL"
"Tempe","AZ","Higher Learning Commission","1",0,1,1,1,6,"12","33.413309","-111.97417","9","1","4","0","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL"
"Phoenix","AZ","Accrediting Commission of Career Schools and Colleges","1",0,1,1,3,6,"11","33.45489","-112.086161","-2","-2","-2","0","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL"
"Safford","AZ","NULL","1",0,1,1,3,6,"41","32.835363","-109.726795","-2","-2","-2","NULL","NULL","NULL","NULL","NULL","NU","NULL","0","0","NULL","NULL","NULL","NULL","NULL"
"Scottsdale","AZ","Higher Learning Commission","2",0,1,1,1,6,"41","33.51135","-111.885186","3","1","3","0","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL"
"Phoenix","AZ","Higher Learning Commission","2",0,1,1,1,6,"11","33.382406","-112.032635","2","1","3","0","0","0","0","0","1","0","0","0","NULL","NULL","NULL","NULL","NULL"
"Phoenix","AZ","Higher Learning Commission","3",0,1,1,2,6,"11","33.595117","-112.026211","22","11","7","0","0","0","0","0","0","0","0","0","88","0.6444","15","NULL","NULL"
"Avondale","AZ","Accrediting Commission of Career Schools and Colleges","1",0,1,6,3,6,"22","33.453005","-112.288123","11","4","2","0","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL"
"Tempe","AZ","NULL","3",0,1,1,3,6,"12","33.403294","-111.964527","29","0","6","0","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL"
"Phoenix","AZ","National Accrediting Commission of Career Arts and Sciences","1",0,0,10,3,6,"11","33.538093","-112.118168","-2","-2","-2","0","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL"
"Prescott","AZ","Higher Learning Commission","1",0,1,1,1,6,"13","34.547495","-112.453395","6","1","3","0","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL"
"Little Rock","AR","Higher Learning Commission","3",0,1,1,1,5,"12","34.723254","-92.339778","16","9","12","0","0","0","0","0","0","0","0","0","NULL","0.7463","19","NULL","NULL"
"Little Rock","AR","Higher Learning Commission","3",0,1,1,1,5,"12","34.749048","-92.320046","25","7","10","0","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL"
"Little Rock","AR","Higher Learning Commission","2",1,1,1,2,5,"12","34.734751","-92.290555","23","11","8","1","0","0","0","0","0","0","0","0","54","NULL","NULL","NULL","NULL"
"Little Rock","AR","National Accrediting Commission of Career Arts and Sciences","1",0,1,1,3,5,"12","34.672171","-92.343366","-2","-2","-2","0","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL"
"Russellville","AR","Accrediting Commission of Career Schools and Colleges","1",0,1,1,3,5,"33","35.27902","-93.135369","-2","-2","-2","0","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL"
"Batesville","AR","Higher Learning Commission","3",0,1,1,2,5,"33","35.777619","-91.625354","21","14","8","0","0","0","0","0","0","0","0","0","66","0.6418","22","NULL","NULL"
"North Little Rock","AR","Accrediting Commission of Career Schools and Colleges","1",0,1,2,3,5,"13","34.753843","-92.266429","-2","-2","-2","0","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL"
"Fort Smith","AR","National Accrediting Commission of Career Arts and Sciences","1",0,1,2,3,5,"13","35.379955","-94.410967","-2","-2","-2","0","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL"
"Fayetteville","AR","Higher Learning Commission","3",0,1,1,1,5,"13","36.070009","-94.176981","15","15","16","0","0","0","0","0","0","0","0","0","NULL","0.6596","23","NULL","NULL"
"Pine Bluff","AR","Higher Learning Commission","3",0,1,1,1,5,"13","34.244031","-92.018683","22","10","11","1","0","0","0","0","0","0","0","0","NULL","0.4669","16","NULL","NULL"
"Beebe","AR","Higher Learning Commission","1",0,1,1,1,5,"31","35.074176","-91.895351","5","2","3","0","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL"
"Jonesboro","AR","Higher Learning Commission","3",0,1,1,1,5,"13","35.842388","-90.679988","16","9","13","0","0","0","0","0","0","0","0","0","NULL","0.6602","21","NULL","NULL"
"Russellville","AR","Higher Learning Commission","3",0,1,1,1,5,"33","35.293237","-93.13562","18","10","13","0","0","0","0","0","0","0","0","0","NULL","0.9475","NULL","NULL","NULL"
"Monticello","AR","Higher Learning Commission","1",0,1,1,1,5,"33","33.590909","-91.811153","19","10","10","0","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL"
"Jacksonville","AR","National Accrediting Commission of Career Arts and Sciences","1",0,1,2,3,5,"21","34.891572","-92.102579","-2","-2","-2","0","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL"
